HANDLE,RAW,TRANSLATED
customTitle,"Launching 
products and services",1
summary,We can show the Space X programme a thing or two about launching stuff,2
contentMatrix.52324.fields.text,"We can show the Space X programme a thing or two about launching stuff
Don’t risk missing an opportunity to successfully bring your new product or service to market after you have spent all that time developing it. 
At Scaramanga, we love big thinkers like Elon Musk and, of course, you. You have the vision and the big ideas, but getting it off the ground requires more than adding propulsion fuel. It requires a team with a different skill set that knows how to put everything together to make that important break through.
Our highly skilled crew are well positioned to offer insights on how to reach your target markets with the messages that resonate.
Campaign planning and execution Design and artwork of both print and digital assets Animated video Social media promotion Content marketing Email marketing PPC and paid for marketing activity 
If you can’t afford to gamble on a DIY approach, then Scaramanga is your perfect partner.
Check out our work, weigh up the benefits and then decide you need to work with us. We're on 020 3371 3295.",3
contentMatrix.51332.fields.video.51333.fields.videoTitle,An initiative - members club for Control Energy Costs,4
contentMatrix.51332.fields.video.51333.fields.youtubeUrl,https://player.vimeo.com/video/521819866,5
contentMatrix.51332.fields.label,,
contentMatrix.51332.fields.text,"An initiative - members club for Control Energy Costs
Our client, Control Energy Costs, wanted to launch a new initiative, 
the Made In Energy Club is part of The Made In Group and offers cost 
savings to businesses on their energy procurement.
Deliverables 
We devised an integrated campaign that included the following assets and activity
BrochureLanding PageLive Q&amp;AVideo Social Media promotional activity
Outcomes 
The campaign has been incredibly successful. The team received their first enquiry immediately after the live Q&amp;A to launch the initiative and has continued to onboard new clients ever since.",6
contentMatrix.51332.fields.buttonLabel,,
contentMatrix.51334.fields.video.51335.fields.videoTitle,A product - MyT accountancy app for micro-businesses,7
contentMatrix.51334.fields.video.51335.fields.youtubeUrl,,
contentMatrix.51334.fields.label,,
contentMatrix.51334.fields.text,"A product - MyT accountancy app for micro-businesses
MyT is a powerful bookkeeping app aimed at sole traders and micro-businesses. It allows them to track expenses and mileage and create client invoices on the go from their phone.
Our brief was to help raise the app’s visibility by creating a simple new identity that would primarily work as an icon on app stores.
Deliverables
A new icon that doubles as a logoBrochure (including copywriting) Adverts, and promotional images to use on App Stores to sell the concept.Facebook advertising campaign 
Outcomes
The Facebook ad campaign we ran was successful and had a good CPM and click-through rate. ",8
contentMatrix.51334.fields.buttonLabel,,
contentMatrix.51337.fields.text,"A service - security for The Sheriffs Office
The Sheriffs Office undertake a lot of trespasser eviction work and came to us when they realised there was an opportunity for an additional security service offering. 
The new security offering means that security is offered upfront as a solution to prevent further issues and mitigate the risk of further trespassing. 
We were on hand to help scope this out and bring to life a campaign plan to reach their target audience effectively. 
Deliverables
Social media campaign New brochure Articles and blogsnewsletter content A slightly different colour identity 
Outcomes 
The Security service is taken up often when their clients instruct them to evict trespassers. This has led to it being a key revenue generator for the business that has gone from strength to strength. ",9
contentMatrix.51340.fields.text,"If you are ready and poised for take-off, get in touch 020 3371 3295
Contact us",10
contentMatrix.51342.fields.relatedTitle,Check out what else we do for these clients,11
seoMetaTitle,Launch new products and services with Scaramanga,12
seoMetaDescription,"We can show the Space X programme a thing or two about launching stuff. Don’t risk missing an opportunity to successfully bring your new product or service to market after you have spent all that time developing it. If you can’t afford to gamble on a DIY approach, then Scaramanga is your perfect partner.",13
seoKeywords,launch product service marketing,14
seoImageDescription,,
title,Launching new products and services,15
slug,launch-new-products-and-services,
